# TRAINING ITERATION,           G_LOSS,           D_LOSS,         MSE_LOSS,     JACCARD_LOSS
                   1,         -0.26429,      -6148.61182,          0.30150,          0.94742
                   2,         -1.09652,     -72253.76562,          0.29968,          0.95776
                   3,         -1.62293,      -2421.83154,          0.29740,          0.94914
                   4,         -2.06089,       -330.47653,          0.27782,          0.94878
                   5,         -2.32345,       -151.69615,          0.26841,          0.95629
                   6,         -2.50165,      -2733.82056,          0.25646,          0.95884
                   7,         -2.78476,       -253.06403,          0.23673,          0.97590
                   8,         -2.82948,       -201.38069,          0.22276,          0.98582
                   9,         -3.04264,        -68.67618,          0.20949,          0.99332
                  10,         -2.86025,      -2355.65991,          0.19509,          0.99027
                  11,         -2.57342,      -8450.66113,          0.19270,          0.99084
                  12,         -2.58683,       -294.09192,          0.18220,          0.99057
                  13,         -2.50685,      -2048.83618,          0.17747,          0.98602
                  14,         -2.43298,      -1387.51270,          0.17094,          0.99172
                  15,         -2.41723,        -84.12925,          0.16716,          0.99192
                  16,         -2.47382,       -344.86829,          0.16193,          0.99420
                  17,         -2.42162,       -249.17998,          0.16164,          0.99635
                  18,         -2.20920,       -408.27625,          0.16058,          0.99551
                  19,         -2.52279,       -275.42163,          0.15298,          0.99735
                  20,         -2.50872,       -517.34467,          0.14248,          0.99741
                  21,         -2.39504,       -236.86981,          0.14876,          0.99507
                  22,         -2.41701,        -21.66504,          0.14695,          0.99347
                  23,         -2.32893,       -132.32755,          0.14450,          0.99318
                  24,         -2.40861,       -722.24207,          0.14121,          0.99337
                  25,         -2.33787,        -27.53300,          0.13811,          0.98594
                  26,         -2.40455,       -211.51825,          0.14169,          0.99012
                  27,         -2.51027,        -34.31372,          0.14291,          0.98093
                  28,         -2.60253,       -146.88210,          0.13405,          0.99015
                  29,         -2.56689,       -241.95020,          0.13860,          0.98712
                  30,         -2.48876,        -73.53789,          0.13875,          0.98612
                  31,         -2.43818,       -199.09360,          0.13669,          0.97821
                  32,         -2.58655,       -117.51915,          0.13498,          0.98118
                  33,         -2.56385,       -548.93335,          0.13633,          0.97617
                  34,         -2.59415,       -180.29565,          0.12984,          0.98457
                  35,         -2.45222,       -426.47592,          0.12574,          0.97770
                  36,         -2.45134,       -418.89163,          0.13205,          0.98367
                  37,         -2.76645,        -67.99220,          0.12331,          0.98175
                  38,         -2.20236,       -210.75583,          0.12506,          0.97316
                  39,         -2.59606,       -146.13698,          0.13122,          0.98140
                  40,         -2.50944,        -66.90183,          0.12517,          0.97894
                  41,         -2.53239,        -47.06087,          0.13145,          0.97792
                  42,         -2.51596,       -124.08942,          0.12544,          0.97867
                  43,         -2.36762,       -256.92691,          0.12713,          0.98011
                  44,         -2.29111,        -29.56533,          0.13044,          0.97070
                  45,         -2.61432,       -129.44136,          0.12385,          0.97301
                  46,         -2.51796,        -31.15249,          0.11979,          0.97950
                  47,         -2.43283,        -78.57475,          0.12759,          0.96883
                  48,         -2.54635,       -137.45946,          0.12192,          0.97987
                  49,         -2.56940,       -764.59155,          0.12803,          0.96666
                  50,         -2.30686,        -71.26729,          0.13092,          0.96730
                  51,         -2.39317,       -106.68103,          0.12898,          0.97335
                  52,         -2.59231,       -170.35350,          0.12710,          0.97351
                  53,         -2.45482,        -27.96097,          0.12910,          0.96696
                  54,         -2.41888,       -335.25775,          0.12308,          0.97414
                  55,         -2.64333,        -42.44952,          0.12221,          0.97285
                  56,         -2.47791,       -140.91528,          0.12897,          0.96826
                  57,         -2.51370,        -72.76287,          0.12902,          0.97585
                  58,         -2.50801,        -61.29717,          0.13092,          0.95719
                  59,         -2.28587,       -273.71475,          0.12835,          0.96535
                  60,         -2.40204,        -72.65987,          0.12690,          0.96047
                  61,         -2.40359,       -134.01495,          0.13039,          0.96134
                  62,         -2.41033,       -308.79346,          0.13287,          0.96804
                  63,         -2.31960,        -29.07011,          0.12932,          0.96079
                  64,         -2.41051,        -57.22173,          0.13384,          0.96502
                  65,         -2.58110,        -25.28070,          0.13428,          0.96540
                  66,         -2.18462,       -265.66257,          0.13366,          0.96194
                  67,         -2.44159,       -159.82336,          0.14197,          0.96237
                  68,         -2.32739,        -38.47766,          0.12825,          0.96206
                  69,         -2.35855,        -50.63185,          0.12603,          0.96290
                  70,         -2.34805,        -38.27459,          0.13283,          0.95995
                  71,         -2.13426,        -90.58232,          0.13111,          0.96462
                  72,         -2.28725,        -43.14006,          0.13341,          0.95668
                  73,         -2.43162,        -56.84872,          0.14117,          0.95527
                  74,         -2.33881,        -43.80458,          0.13633,          0.96146
                  75,         -2.40760,        -71.37237,          0.13254,          0.95868
                  76,         -2.57092,        -27.93930,          0.12970,          0.96564
                  77,         -2.38049,       -158.06810,          0.13258,          0.95336
                  78,         -2.63456,        -76.10184,          0.13050,          0.95907
                  79,         -2.58364,        -67.67554,          0.13448,          0.95544
                  80,         -2.21905,        -59.49192,          0.13755,          0.95342
                  81,         -2.53744,       -271.82300,          0.13450,          0.95789
                  82,         -2.51437,        -54.71533,          0.13739,          0.95370
