# TRAINING ITERATION,           G_LOSS,           D_LOSS,         MSE_LOSS,     JACCARD_LOSS
                   1,          0.34201,      -5604.49951,          0.23959,          0.93669
                   2,         -0.75314,       -637.50580,          0.26547,          0.92830
                   3,         -0.86354,      -5034.61768,          0.27177,          0.93574
                   4,         -0.81452,       -433.64627,          0.25974,          0.93208
                   5,         -0.98028,       -461.01163,          0.24190,          0.95386
                   6,         -0.91345,        -78.13686,          0.22104,          0.94741
                   7,         -0.99873,       -178.09601,          0.21135,          0.94916
                   8,         -1.22951,        -48.95351,          0.19859,          0.96548
                   9,         -1.19534,       -258.99234,          0.18445,          0.96584
                  10,         -0.97818,       -169.59796,          0.19169,          0.95844
                  11,         -0.98129,       -480.51813,          0.17372,          0.98918
                  12,         -1.09430,        -37.26274,          0.17331,          0.99091
                  13,         -1.21059,       -255.94218,          0.16233,          0.99926
                  14,         -1.43081,       -184.34958,          0.15951,          0.99924
                  15,         -1.31989,        -25.32157,          0.15220,          0.96875
                  16,         -1.29562,        -25.72279,          0.15168,          0.96875
                  17,         -1.37553,        -86.39397,          0.14437,          0.96875
                  18,         -1.43166,        -29.82338,          0.14511,          1.00000
                  19,         -1.51550,        -24.96305,          0.14344,          0.96875
                  20,         -1.48278,       -128.73724,          0.13271,          1.00000
                  21,         -1.57771,        -20.31465,          0.13302,          1.00000
                  22,         -1.46606,        -28.43333,          0.13466,          1.00000
                  23,         -1.62381,        -52.94121,          0.13999,          0.96875
                  24,         -1.64595,        -20.29906,          0.12840,          1.00000
                  25,         -1.64982,       -104.69772,          0.12063,          1.00000
                  26,         -1.55321,        -73.28976,          0.12396,          0.96875
                  27,         -1.63003,        -91.33414,          0.12610,          1.00000
                  28,         -1.64732,        -82.14550,          0.12088,          1.00000
                  29,         -1.61397,        -48.81926,          0.12231,          1.00000
                  30,         -1.67440,        -23.69840,          0.11523,          1.00000
                  31,         -1.59254,        -22.00805,          0.12608,          1.00000
                  32,         -1.53472,        -39.39804,          0.12071,          1.00000
                  33,         -1.59851,        -38.71473,          0.12290,          1.00000
                  34,         -1.70426,        -23.49145,          0.11787,          1.00000
                  35,         -1.57066,        -51.95820,          0.11800,          1.00000
                  36,         -1.59422,        -67.67483,          0.12141,          1.00000
                  37,         -1.63549,        -22.15187,          0.11678,          0.96875
                  38,         -1.82039,        -57.90971,          0.11778,          1.00000
                  39,         -1.74042,        -34.69362,          0.12464,          1.00000
                  40,         -1.73788,        -36.67238,          0.12074,          1.00000
                  41,         -1.46254,        -67.20532,          0.11806,          1.00000
                  42,         -1.63719,        -30.32531,          0.12224,          1.00000
                  43,         -1.47913,        -38.64527,          0.12531,          1.00000
                  44,         -1.75022,        -34.49478,          0.12238,          1.00000
                  45,         -1.69202,        -52.49085,          0.12121,          1.00000
                  46,         -1.72610,        -19.75263,          0.12603,          0.96875
                  47,         -1.71982,        -16.18777,          0.11309,          1.00000
                  48,         -1.84366,        -13.87153,          0.12541,          1.00000
                  49,         -1.71469,        -23.54266,          0.11845,          1.00000
                  50,         -1.74476,        -18.89600,          0.13138,          1.00000
                  51,         -1.91378,        -18.19281,          0.12461,          1.00000
                  52,         -1.67242,        -67.63816,          0.11737,          1.00000
                  53,         -1.82695,       -129.08003,          0.11767,          1.00000
                  54,         -1.79990,       -210.78250,          0.11632,          0.90625
                  55,         -1.55619,        -60.44080,          0.12479,          1.00000
                  56,         -1.50293,        -48.96443,          0.12650,          1.00000
                  57,         -1.68795,        -16.50368,          0.12335,          1.00000
                  58,         -1.53888,        -26.38191,          0.13145,          1.00000
                  59,         -1.64028,        -23.24662,          0.12273,          1.00000
                  60,         -1.68256,        -31.24451,          0.12142,          1.00000
                  61,         -1.60230,        -23.11074,          0.11772,          0.96875
                  62,         -1.58314,        -45.28613,          0.12732,          0.96875
                  63,         -1.63571,        -15.43827,          0.12447,          1.00000
                  64,         -1.59574,        -14.24078,          0.11733,          0.96875
                  65,         -1.65674,        -22.03157,          0.12981,          1.00000
                  66,         -1.60478,        -43.85664,          0.12105,          0.96875
                  67,         -1.58484,        -33.80988,          0.12088,          1.00000
                  68,         -1.64805,        -16.71671,          0.12878,          1.00000
                  69,         -1.79262,        -34.39021,          0.12285,          1.00000
                  70,         -1.61181,        -17.52081,          0.11860,          1.00000
                  71,         -1.70788,        -19.11770,          0.12469,          1.00000
                  72,         -1.39343,        -60.62219,          0.11452,          1.00000
                  73,         -1.51100,        -16.79384,          0.12721,          1.00000
                  74,         -1.46252,        -26.26121,          0.11644,          1.00000
                  75,         -1.64718,        -13.25219,          0.12019,          1.00000
                  76,         -1.51506,        -14.79682,          0.12017,          1.00000
                  77,         -1.65984,        -31.10663,          0.12140,          1.00000
                  78,         -1.50534,        -22.47150,          0.12325,          0.96875
                  79,         -1.65413,        -15.17399,          0.12186,          1.00000
                  80,         -1.71838,        -19.84386,          0.11577,          1.00000
