# TRAINING ITERATION,         BCE_LOSS,         MSE_LOSS,     JACCARD_LOSS
                   1,          0.73874,          0.27017,          0.98269
                   2,          0.53096,          0.17143,          0.94079
                   3,          0.41747,          0.12114,          0.98026
                   4,          0.27594,          0.07279,          1.00000
                   5,          0.22159,          0.05981,          1.00000
                   6,          0.21366,          0.05964,          0.99671
                   7,          0.19575,          0.05201,          1.00000
                   8,          0.17646,          0.04892,          1.00000
                   9,          0.18547,          0.05110,          1.00000
                  10,          0.14863,          0.04231,          1.00000
                  11,          0.12466,          0.03422,          1.00000
                  12,          0.12770,          0.03559,          0.99013
                  13,          0.13356,          0.03764,          1.00000
                  14,          0.11723,          0.03230,          1.00000
                  15,          0.11183,          0.03058,          1.00000
                  16,          0.11671,          0.03200,          1.00000
                  17,          0.08342,          0.02166,          0.99013
                  18,          0.09850,          0.02770,          0.93750
                  19,          0.08554,          0.02313,          0.97368
                  20,          0.07918,          0.02122,          1.00000
                  21,          0.09816,          0.02708,          0.93750
                  22,          0.06190,          0.01611,          1.00000
                  23,          0.08221,          0.02243,          1.00000
                  24,          0.07885,          0.02137,          0.99342
                  25,          0.07536,          0.02051,          0.98684
                  26,          0.06630,          0.01752,          0.95395
                  27,          0.05735,          0.01529,          0.96382
                  28,          0.08014,          0.02273,          1.00000
                  29,          0.05713,          0.01568,          1.00000
                  30,          0.06447,          0.01707,          0.97368
                  31,          0.05698,          0.01526,          0.99013
                  32,          0.05518,          0.01447,          1.00000
                  33,          0.06199,          0.01709,          1.00000
                  34,          0.05878,          0.01646,          1.00000
                  35,          0.06420,          0.01764,          1.00000
                  36,          0.05400,          0.01445,          1.00000
                  37,          0.05406,          0.01461,          0.99342
                  38,          0.06363,          0.01715,          1.00000
                  39,          0.05108,          0.01376,          1.00000
                  40,          0.04441,          0.01132,          0.97368
                  41,          0.05213,          0.01462,          1.00000
                  42,          0.03449,          0.00862,          0.99013
                  43,          0.04136,          0.01122,          0.98026
                  44,          0.03431,          0.00894,          1.00000
                  45,          0.03602,          0.00940,          0.93750
                  46,          0.05849,          0.01623,          1.00000
                  47,          0.03670,          0.00970,          0.97039
                  48,          0.04386,          0.01150,          0.99342
                  49,          0.04150,          0.01072,          1.00000
                  50,          0.04410,          0.01178,          1.00000
                  51,          0.04800,          0.01338,          1.00000
                  52,          0.04190,          0.01108,          1.00000
                  53,          0.03478,          0.00900,          0.99671
                  54,          0.03166,          0.00817,          1.00000
                  55,          0.02932,          0.00764,          0.95395
                  56,          0.05413,          0.01596,          1.00000
                  57,          0.04493,          0.01228,          1.00000
                  58,          0.04289,          0.01157,          0.93750
                  59,          0.04430,          0.01182,          1.00000
                  60,          0.03968,          0.01052,          1.00000
                  61,          0.03630,          0.00962,          1.00000
                  62,          0.03891,          0.01078,          0.99671
                  63,          0.04481,          0.01265,          1.00000
                  64,          0.04174,          0.01126,          1.00000
                  65,          0.04241,          0.01146,          0.99671
                  66,          0.03361,          0.00880,          1.00000
                  67,          0.03630,          0.00959,          0.97697
                  68,          0.03982,          0.01063,          0.98684
                  69,          0.03528,          0.00939,          1.00000
                  70,          0.03551,          0.00944,          1.00000
                  71,          0.03590,          0.00980,          1.00000
                  72,          0.03624,          0.00985,          1.00000
                  73,          0.03199,          0.00853,          0.98684
                  74,          0.02986,          0.00791,          1.00000
                  75,          0.03941,          0.01060,          1.00000
                  76,          0.03519,          0.00937,          1.00000
                  77,          0.03566,          0.00933,          1.00000
                  78,          0.03273,          0.00855,          1.00000
                  79,          0.03319,          0.00863,          1.00000
                  80,          0.02791,          0.00736,          0.95395
                  81,          0.02753,          0.00724,          0.99671
                  82,          0.02695,          0.00704,          1.00000
                  83,          0.03185,          0.00837,          1.00000
                  84,          0.03051,          0.00796,          1.00000
                  85,          0.02805,          0.00726,          1.00000
                  86,          0.02946,          0.00752,          1.00000
                  87,          0.02574,          0.00671,          0.98026
                  88,          0.02929,          0.00769,          1.00000
                  89,          0.02599,          0.00677,          0.97368
                  90,          0.02865,          0.00751,          1.00000
                  91,          0.03090,          0.00823,          1.00000
                  92,          0.02551,          0.00659,          0.93750
                  93,          0.02665,          0.00676,          1.00000
                  94,          0.02999,          0.00781,          1.00000
                  95,          0.02545,          0.00651,          0.92105
                  96,          0.02902,          0.00763,          1.00000
                  97,          0.02441,          0.00632,          0.94737
                  98,          0.02512,          0.00672,          0.96382
                  99,          0.03135,          0.00845,          1.00000
                 100,          0.02149,          0.00557,          0.96053
                 101,          0.02530,          0.00660,          1.00000
                 102,          0.02513,          0.00645,          1.00000
                 103,          0.02353,          0.00588,          1.00000
                 104,          0.02415,          0.00629,          1.00000
                 105,          0.02324,          0.00602,          0.98684
                 106,          0.02504,          0.00657,          1.00000
                 107,          0.02337,          0.00601,          0.98684
                 108,          0.02048,          0.00530,          1.00000
