----------------------------------------------------------------------
RUN TRAINING:

E:   1/10000 | B:   1/625 | I:     1 | T:  23.9 | dt: 7.29 || LOSSES: BCE 0.6433 | MSE 0.2246 | JACCARD 0.9986 | 
E:   1/10000 | B:   2/625 | I:     2 | T:  25.6 | dt: 1.73 || LOSSES: BCE 0.4057 | MSE 0.1179 | JACCARD 0.9901 | 
E:   1/10000 | B:   3/625 | I:     3 | T:  27.3 | dt: 1.73 || LOSSES: BCE 0.2836 | MSE 0.0753 | JACCARD 0.9770 | 
E:   1/10000 | B:   4/625 | I:     4 | T:  29.1 | dt: 1.77 || LOSSES: BCE 0.2375 | MSE 0.0603 | JACCARD 0.9967 | 
E:   1/10000 | B:   5/625 | I:     5 | T:  30.9 | dt: 1.74 || LOSSES: BCE 0.2367 | MSE 0.0619 | JACCARD 1.0000 | 
E:   1/10000 | B:   6/625 | I:     6 | T:  32.6 | dt: 1.74 || LOSSES: BCE 0.2452 | MSE 0.0655 | JACCARD 1.0000 | 
E:   1/10000 | B:   7/625 | I:     7 | T:  34.4 | dt: 1.77 || LOSSES: BCE 0.2440 | MSE 0.0680 | JACCARD 0.9704 | 
E:   1/10000 | B:   8/625 | I:     8 | T:  36.2 | dt: 1.85 || LOSSES: BCE 0.1904 | MSE 0.0520 | JACCARD 0.9836 | 
E:   1/10000 | B:   9/625 | I:     9 | T:  38.0 | dt: 1.82 || LOSSES: BCE 0.1726 | MSE 0.0473 | JACCARD 0.9868 | 
E:   1/10000 | B:  10/625 | I:    10 | T:  39.8 | dt: 1.77 || LOSSES: BCE 0.1607 | MSE 0.0448 | JACCARD 0.9507 | 
E:   1/10000 | B:  11/625 | I:    11 | T:  41.6 | dt: 1.75 || LOSSES: BCE 0.1475 | MSE 0.0411 | JACCARD 0.9967 | 
E:   1/10000 | B:  12/625 | I:    12 | T:  43.4 | dt: 1.80 || LOSSES: BCE 0.1705 | MSE 0.0484 | JACCARD 0.9934 | 
E:   1/10000 | B:  13/625 | I:    13 | T:  45.1 | dt: 1.75 || LOSSES: BCE 0.1535 | MSE 0.0439 | JACCARD 1.0000 | 
E:   1/10000 | B:  14/625 | I:    14 | T:  46.9 | dt: 1.76 || LOSSES: BCE 0.1566 | MSE 0.0450 | JACCARD 1.0000 | 
E:   1/10000 | B:  15/625 | I:    15 | T:  48.6 | dt: 1.76 || LOSSES: BCE 0.1515 | MSE 0.0440 | JACCARD 0.9934 | 
E:   1/10000 | B:  16/625 | I:    16 | T:  50.4 | dt: 1.77 || LOSSES: BCE 0.1474 | MSE 0.0430 | JACCARD 1.0000 | 
E:   1/10000 | B:  17/625 | I:    17 | T:  52.2 | dt: 1.77 || LOSSES: BCE 0.1460 | MSE 0.0431 | JACCARD 1.0000 | 
E:   1/10000 | B:  18/625 | I:    18 | T:  53.9 | dt: 1.77 || LOSSES: BCE 0.1206 | MSE 0.0345 | JACCARD 1.0000 | 
E:   1/10000 | B:  19/625 | I:    19 | T:  55.7 | dt: 1.76 || LOSSES: BCE 0.1193 | MSE 0.0335 | JACCARD 0.9671 | 
E:   1/10000 | B:  20/625 | I:    20 | T:  57.5 | dt: 1.77 || LOSSES: BCE 0.1053 | MSE 0.0294 | JACCARD 0.9211 | 
E:   1/10000 | B:  21/625 | I:    21 | T:  59.2 | dt: 1.76 || LOSSES: BCE 0.1164 | MSE 0.0333 | JACCARD 1.0000 | 
E:   1/10000 | B:  22/625 | I:    22 | T:  61.0 | dt: 1.77 || LOSSES: BCE 0.1101 | MSE 0.0321 | JACCARD 1.0000 | 
E:   1/10000 | B:  23/625 | I:    23 | T:  62.8 | dt: 1.77 || LOSSES: BCE 0.1200 | MSE 0.0357 | JACCARD 1.0000 | 
E:   1/10000 | B:  24/625 | I:    24 | T:  64.5 | dt: 1.76 || LOSSES: BCE 0.1102 | MSE 0.0318 | JACCARD 1.0000 | 
E:   1/10000 | B:  25/625 | I:    25 | T:  66.3 | dt: 1.77 || LOSSES: BCE 0.1014 | MSE 0.0291 | JACCARD 0.9737 | 
E:   1/10000 | B:  26/625 | I:    26 | T:  68.1 | dt: 1.77 || LOSSES: BCE 0.0942 | MSE 0.0267 | JACCARD 0.9967 | 
