Example Object couldnt be generated with Marching Cube Algorithm. Probable Reason: Empty Input Tensor, All Zeros
----------------------------------------------------------------------
RUN TRAINING:

E:   1/10000 | B:   1/625 | I:     1 | T:  25.2 | dt: 8.97 || LOSSES: BCE 0.6413 | MSE 0.2245 | JACCARD 0.9989 | 
E:   1/10000 | B:   2/625 | I:     2 | T:  27.0 | dt: 1.75 || LOSSES: BCE 0.4070 | MSE 0.1193 | JACCARD 0.9967 | 
E:   1/10000 | B:   3/625 | I:     3 | T:  28.7 | dt: 1.74 || LOSSES: BCE 0.2952 | MSE 0.0771 | JACCARD 0.9539 | 
E:   1/10000 | B:   4/625 | I:     4 | T:  30.5 | dt: 1.75 || LOSSES: BCE 0.3190 | MSE 0.0729 | JACCARD 0.9737 | 
E:   1/10000 | B:   5/625 | I:     5 | T:  32.2 | dt: 1.76 || LOSSES: BCE 0.2503 | MSE 0.0627 | JACCARD 0.9507 | 
E:   1/10000 | B:   6/625 | I:     6 | T:  34.0 | dt: 1.75 || LOSSES: BCE 0.2578 | MSE 0.0651 | JACCARD 1.0000 | 
E:   1/10000 | B:   7/625 | I:     7 | T:  35.7 | dt: 1.74 || LOSSES: BCE 0.2649 | MSE 0.0685 | JACCARD 1.0000 | 
E:   1/10000 | B:   8/625 | I:     8 | T:  37.5 | dt: 1.75 || LOSSES: BCE 0.2297 | MSE 0.0592 | JACCARD 0.9901 | 
E:   1/10000 | B:   9/625 | I:     9 | T:  39.3 | dt: 1.77 || LOSSES: BCE 0.2114 | MSE 0.0545 | JACCARD 0.9572 | 
E:   1/10000 | B:  10/625 | I:    10 | T:  41.0 | dt: 1.77 || LOSSES: BCE 0.2057 | MSE 0.0529 | JACCARD 0.9868 | 
E:   1/10000 | B:  11/625 | I:    11 | T:  42.8 | dt: 1.75 || LOSSES: BCE 0.2146 | MSE 0.0572 | JACCARD 0.9770 | 
E:   1/10000 | B:  12/625 | I:    12 | T:  44.5 | dt: 1.75 || LOSSES: BCE 0.2236 | MSE 0.0601 | JACCARD 1.0000 | 
E:   1/10000 | B:  13/625 | I:    13 | T:  46.3 | dt: 1.75 || LOSSES: BCE 0.1880 | MSE 0.0503 | JACCARD 0.9704 | 
E:   1/10000 | B:  14/625 | I:    14 | T:  48.0 | dt: 1.75 || LOSSES: BCE 0.1801 | MSE 0.0487 | JACCARD 0.9967 | 
E:   1/10000 | B:  15/625 | I:    15 | T:  49.8 | dt: 1.75 || LOSSES: BCE 0.1714 | MSE 0.0462 | JACCARD 0.9737 | 
E:   1/10000 | B:  16/625 | I:    16 | T:  51.5 | dt: 1.76 || LOSSES: BCE 0.1919 | MSE 0.0529 | JACCARD 0.9967 | 
E:   1/10000 | B:  17/625 | I:    17 | T:  53.3 | dt: 1.76 || LOSSES: BCE 0.2119 | MSE 0.0592 | JACCARD 1.0000 | 
E:   1/10000 | B:  18/625 | I:    18 | T:  55.1 | dt: 1.77 || LOSSES: BCE 0.1614 | MSE 0.0442 | JACCARD 0.9934 | 
E:   1/10000 | B:  19/625 | I:    19 | T:  56.8 | dt: 1.75 || LOSSES: BCE 0.1584 | MSE 0.0442 | JACCARD 0.9868 | 
E:   1/10000 | B:  20/625 | I:    20 | T:  58.6 | dt: 1.76 || LOSSES: BCE 0.1462 | MSE 0.0406 | JACCARD 0.9737 | 
E:   1/10000 | B:  21/625 | I:    21 | T:  60.4 | dt: 1.77 || LOSSES: BCE 0.1617 | MSE 0.0465 | JACCARD 1.0000 | 
E:   1/10000 | B:  22/625 | I:    22 | T:  62.1 | dt: 1.77 || LOSSES: BCE 0.1542 | MSE 0.0440 | JACCARD 0.9638 | 
E:   1/10000 | B:  23/625 | I:    23 | T:  63.9 | dt: 1.77 || LOSSES: BCE 0.1664 | MSE 0.0481 | JACCARD 0.9868 | 
E:   1/10000 | B:  24/625 | I:    24 | T:  65.7 | dt: 1.75 || LOSSES: BCE 0.1509 | MSE 0.0430 | JACCARD 1.0000 | 
E:   1/10000 | B:  25/625 | I:    25 | T:  67.4 | dt: 1.77 || LOSSES: BCE 0.1314 | MSE 0.0363 | JACCARD 0.9836 | 
E:   1/10000 | B:  26/625 | I:    26 | T:  69.2 | dt: 1.76 || LOSSES: BCE 0.1604 | MSE 0.0462 | JACCARD 1.0000 | 
E:   1/10000 | B:  27/625 | I:    27 | T:  71.0 | dt: 1.77 || LOSSES: BCE 0.1205 | MSE 0.0324 | JACCARD 0.9441 | 
E:   1/10000 | B:  28/625 | I:    28 | T:  72.7 | dt: 1.77 || LOSSES: BCE 0.1300 | MSE 0.0359 | JACCARD 1.0000 | 
E:   1/10000 | B:  29/625 | I:    29 | T:  74.5 | dt: 1.76 || LOSSES: BCE 0.1398 | MSE 0.0396 | JACCARD 0.9934 | 
E:   1/10000 | B:  30/625 | I:    30 | T:  76.3 | dt: 1.78 || LOSSES: BCE 0.1183 | MSE 0.0320 | JACCARD 0.9967 | 
E:   1/10000 | B:  31/625 | I:    31 | T:  78.0 | dt: 1.76 || LOSSES: BCE 0.1143 | MSE 0.0307 | JACCARD 0.9803 | 
E:   1/10000 | B:  32/625 | I:    32 | T:  79.8 | dt: 1.76 || LOSSES: BCE 0.1106 | MSE 0.0296 | JACCARD 0.9770 | 
E:   1/10000 | B:  33/625 | I:    33 | T:  81.5 | dt: 1.76 || LOSSES: BCE 0.1234 | MSE 0.0348 | JACCARD 0.9934 | 
E:   1/10000 | B:  34/625 | I:    34 | T:  83.3 | dt: 1.76 || LOSSES: BCE 0.0997 | MSE 0.0264 | JACCARD 0.9901 | 
E:   1/10000 | B:  35/625 | I:    35 | T:  85.1 | dt: 1.78 || LOSSES: BCE 0.1113 | MSE 0.0304 | JACCARD 0.9934 | 
E:   1/10000 | B:  36/625 | I:    36 | T:  86.9 | dt: 1.77 || LOSSES: BCE 0.0966 | MSE 0.0255 | JACCARD 0.9868 | 
E:   1/10000 | B:  37/625 | I:    37 | T:  88.6 | dt: 1.76 || LOSSES: BCE 0.0951 | MSE 0.0254 | JACCARD 0.9901 | 
E:   1/10000 | B:  38/625 | I:    38 | T:  90.4 | dt: 1.77 || LOSSES: BCE 0.0955 | MSE 0.0255 | JACCARD 0.9803 | 
E:   1/10000 | B:  39/625 | I:    39 | T:  92.2 | dt: 1.77 || LOSSES: BCE 0.0896 | MSE 0.0241 | JACCARD 0.9803 | 
E:   1/10000 | B:  40/625 | I:    40 | T:  93.9 | dt: 1.77 || LOSSES: BCE 0.0981 | MSE 0.0266 | JACCARD 1.0000 | 
E:   1/10000 | B:  41/625 | I:    41 | T:  95.7 | dt: 1.77 || LOSSES: BCE 0.0871 | MSE 0.0227 | JACCARD 1.0000 | 
E:   1/10000 | B:  42/625 | I:    42 | T:  97.5 | dt: 1.79 || LOSSES: BCE 0.0961 | MSE 0.0262 | JACCARD 1.0000 | 
E:   1/10000 | B:  43/625 | I:    43 | T:  99.3 | dt: 1.78 || LOSSES: BCE 0.0838 | MSE 0.0218 | JACCARD 0.9737 | 
E:   1/10000 | B:  44/625 | I:    44 | T: 101.0 | dt: 1.76 || LOSSES: BCE 0.0714 | MSE 0.0183 | JACCARD 0.9868 | 
E:   1/10000 | B:  45/625 | I:    45 | T: 102.8 | dt: 1.76 || LOSSES: BCE 0.1106 | MSE 0.0311 | JACCARD 1.0000 | 
E:   1/10000 | B:  46/625 | I:    46 | T: 104.6 | dt: 1.77 || LOSSES: BCE 0.0823 | MSE 0.0219 | JACCARD 0.9967 | 
E:   1/10000 | B:  47/625 | I:    47 | T: 106.3 | dt: 1.77 || LOSSES: BCE 0.0856 | MSE 0.0227 | JACCARD 1.0000 | 
E:   1/10000 | B:  48/625 | I:    48 | T: 108.1 | dt: 1.77 || LOSSES: BCE 0.0921 | MSE 0.0244 | JACCARD 1.0000 | 
E:   1/10000 | B:  49/625 | I:    49 | T: 109.9 | dt: 1.76 || LOSSES: BCE 0.0753 | MSE 0.0200 | JACCARD 0.9836 | 
E:   1/10000 | B:  50/625 | I:    50 | T: 111.6 | dt: 1.77 || LOSSES: BCE 0.0750 | MSE 0.0194 | JACCARD 0.9704 | 
E:   1/10000 | B:  51/625 | I:    51 | T: 113.4 | dt: 1.77 || LOSSES: BCE 0.0815 | MSE 0.0221 | JACCARD 0.9967 | 
E:   1/10000 | B:  52/625 | I:    52 | T: 115.2 | dt: 1.76 || LOSSES: BCE 0.0943 | MSE 0.0260 | JACCARD 1.0000 | 
E:   1/10000 | B:  53/625 | I:    53 | T: 117.0 | dt: 1.77 || LOSSES: BCE 0.0763 | MSE 0.0197 | JACCARD 0.9901 | 
E:   1/10000 | B:  54/625 | I:    54 | T: 118.7 | dt: 1.76 || LOSSES: BCE 0.0758 | MSE 0.0199 | JACCARD 1.0000 | 
E:   1/10000 | B:  55/625 | I:    55 | T: 120.5 | dt: 1.77 || LOSSES: BCE 0.0740 | MSE 0.0194 | JACCARD 0.9836 | 
E:   1/10000 | B:  56/625 | I:    56 | T: 122.3 | dt: 1.77 || LOSSES: BCE 0.0759 | MSE 0.0198 | JACCARD 1.0000 | 
E:   1/10000 | B:  57/625 | I:    57 | T: 124.0 | dt: 1.76 || LOSSES: BCE 0.0764 | MSE 0.0200 | JACCARD 0.9868 | 
E:   1/10000 | B:  58/625 | I:    58 | T: 125.8 | dt: 1.76 || LOSSES: BCE 0.0725 | MSE 0.0187 | JACCARD 0.9967 | 
E:   1/10000 | B:  59/625 | I:    59 | T: 127.5 | dt: 1.76 || LOSSES: BCE 0.0759 | MSE 0.0198 | JACCARD 0.9934 | 
E:   1/10000 | B:  60/625 | I:    60 | T: 129.3 | dt: 1.77 || LOSSES: BCE 0.0764 | MSE 0.0202 | JACCARD 0.9934 | 
E:   1/10000 | B:  61/625 | I:    61 | T: 131.1 | dt: 1.76 || LOSSES: BCE 0.0694 | MSE 0.0179 | JACCARD 0.9967 | 
E:   1/10000 | B:  62/625 | I:    62 | T: 132.8 | dt: 1.77 || LOSSES: BCE 0.0699 | MSE 0.0182 | JACCARD 0.9836 | 
