#           MSE_LOSS,        MSE_LOSS_NULL,       MSE_LOSS_INPUT,         JACCARD_LOSS,    JACCARD_LOSS_NULL,   JACCARD_LOSS_INPUT
             0.00968,              0.01562,              0.01504,              0.16858,              0.23358,              0.25926
             0.00773,              0.01611,              0.01422,              0.14741,              0.24176,              0.24723
             0.00672,              0.01392,              0.01377,              0.16049,              0.21509,              0.25468
             0.00781,              0.01416,              0.01056,              0.16667,              0.22481,              0.19844
             0.00917,              0.01538,              0.01145,              0.22422,              0.25301,              0.23361
             0.00889,              0.01880,              0.01611,              0.20976,              0.31301,              0.30833
             0.00818,              0.01904,              0.01684,              0.22751,              0.33191,              0.35426
             0.00776,              0.01953,              0.01778,              0.21348,              0.35874,              0.37037
             0.00751,              0.02051,              0.01948,              0.22561,              0.39810,              0.41827
             0.00676,              0.01904,              0.02056,              0.22368,              0.38806,              0.45455
             0.00812,              0.01733,              0.01402,              0.24096,              0.35859,              0.34807
             0.01129,              0.01660,              0.01145,              0.29319,              0.34343,              0.32584
             0.00804,              0.01538,              0.01235,              0.22059,              0.31818,              0.31746
             0.00689,              0.01196,              0.01023,              0.18719,              0.24623,              0.25389
             0.00803,              0.00854,              0.01020,              0.19324,              0.17073,              0.25980
             0.01001,              0.00781,              0.00753,              0.22667,              0.14953,              0.20283
             0.00645,              0.01025,              0.00925,              0.14537,              0.18834,              0.22768
             0.01292,              0.02881,              0.02143,              0.18841,              0.32869,              0.29745
             0.01096,              0.02759,              0.02100,              0.16667,              0.30874,              0.28895
             0.01246,              0.02588,              0.01782,              0.17778,              0.28117,              0.24090
             0.01430,              0.02734,              0.01669,              0.18750,              0.28941,              0.23118
             0.01208,              0.02808,              0.02132,              0.16580,              0.29262,              0.26786
             0.01400,              0.03101,              0.02377,              0.18490,              0.31204,              0.28928
             0.01295,              0.02783,              0.02222,              0.18011,              0.28429,              0.26884
             0.01136,              0.02466,              0.02235,              0.17778,              0.25964,              0.26786
             0.01051,              0.01953,              0.02113,              0.16715,              0.21277,              0.26702
             0.01238,              0.02051,              0.01764,              0.19186,              0.22951,              0.24324
             0.01523,              0.02539,              0.01980,              0.22917,              0.28184,              0.25779
             0.01449,              0.02710,              0.02080,              0.23373,              0.29839,              0.28652
             0.01183,              0.02490,              0.02197,              0.19048,              0.28255,              0.29213
             0.00886,              0.02148,              0.01808,              0.15528,              0.25507,              0.24855
             0.00928,              0.02026,              0.01655,              0.16026,              0.24556,              0.23754
             0.01049,              0.02124,              0.01727,              0.16667,              0.25588,              0.24478
             0.00827,              0.01855,              0.01482,              0.15333,              0.23385,              0.21875
             0.00805,              0.01611,              0.01190,              0.27397,              0.38150,              0.35152
             0.00711,              0.01489,              0.01277,              0.24516,              0.36747,              0.37500
             0.00630,              0.01489,              0.01557,              0.21250,              0.36095,              0.41040
             0.00804,              0.01587,              0.01176,              0.24561,              0.37356,              0.34132
             0.00568,              0.01489,              0.01203,              0.17614,              0.34270,              0.30857
             0.00569,              0.01489,              0.01247,              0.17680,              0.32796,              0.31319
             0.00641,              0.01196,              0.00911,              0.18378,              0.26630,              0.24457
             0.00692,              0.01172,              0.00983,              0.19672,              0.25668,              0.25806
             0.00844,              0.01538,              0.00977,              0.22951,              0.31818,              0.26203
             0.00786,              0.01465,              0.01189,              0.21622,              0.30303,              0.31088
             0.00685,              0.01465,              0.01237,              0.19565,              0.30303,              0.30928
             0.00532,              0.01172,              0.01058,              0.15084,              0.25000,              0.26064
             0.00825,              0.01367,              0.00883,              0.20833,              0.27861,              0.23037
             0.00601,              0.01245,              0.00814,              0.16923,              0.25123,              0.20942
             0.00604,              0.01050,              0.00790,              0.17500,              0.21500,              0.20619
