#           MSE_LOSS,        MSE_LOSS_NULL,       MSE_LOSS_INPUT,         JACCARD_LOSS,    JACCARD_LOSS_NULL,   JACCARD_LOSS_INPUT
             0.04745,              0.05176,              0.01203,              0.49550,              0.47427,              0.14123
             0.02758,              0.02563,              0.00980,              0.44918,              0.36082,              0.17241
             0.01984,              0.01831,              0.00589,              0.32746,              0.26978,              0.13514
             0.02288,              0.02393,              0.01055,              0.37500,              0.30061,              0.19097
             0.02393,              0.03247,              0.01187,              0.40498,              0.39701,              0.22039
             0.03063,              0.03809,              0.00943,              0.46988,              0.45882,              0.17778
             0.02362,              0.03271,              0.01447,              0.41806,              0.40606,              0.31488
             0.02866,              0.02856,              0.00996,              0.44892,              0.37025,              0.19565
             0.02622,              0.03418,              0.01376,              0.45963,              0.42169,              0.26241
             0.02658,              0.03076,              0.01448,              0.43027,              0.37389,              0.24399
             0.03025,              0.03418,              0.01525,              0.42165,              0.38781,              0.28662
             0.03019,              0.03369,              0.01763,              0.43085,              0.36316,              0.29518
             0.02631,              0.02612,              0.01616,              0.38133,              0.28610,              0.26629
             0.02921,              0.03589,              0.01593,              0.42857,              0.39200,              0.24000
             0.03309,              0.04443,              0.01445,              0.57235,              0.54819,              0.28387
             0.01980,              0.02393,              0.00867,              0.47196,              0.43946,              0.24057
             0.01154,              0.01221,              0.00362,              0.35754,              0.28090,              0.14103
             0.01107,              0.01318,              0.00445,              0.35632,              0.30857,              0.14815
             0.01308,              0.01587,              0.00520,              0.37870,              0.35912,              0.20139
             0.02274,              0.02393,              0.01094,              0.47547,              0.37838,              0.22672
             0.02208,              0.02319,              0.01285,              0.48523,              0.38000,              0.37321
             0.03731,              0.03784,              0.01289,              0.68367,              0.54770,              0.30508
             0.02774,              0.03345,              0.01249,              0.54118,              0.50929,              0.32273
             0.01948,              0.01831,              0.00891,              0.38722,              0.28626,              0.23041
             0.02865,              0.02588,              0.01176,              0.46395,              0.34194,              0.21970
             0.02751,              0.02783,              0.01281,              0.45687,              0.37377,              0.20962
             0.01775,              0.01758,              0.01294,              0.40698,              0.27481,              0.28395
             0.01909,              0.01904,              0.01046,              0.44033,              0.32099,              0.21795
             0.02540,              0.02905,              0.00886,              0.53846,              0.46850,              0.24615
             0.01790,              0.01904,              0.00994,              0.35294,              0.30000,              0.22936
             0.01809,              0.01855,              0.01400,              0.36680,              0.28358,              0.30502
             0.01615,              0.02026,              0.01382,              0.43396,              0.37054,              0.34274
             0.02302,              0.03442,              0.01158,              0.65663,              0.71212,              0.39241
             0.02410,              0.03198,              0.00615,              0.70909,              0.70430,              0.31034
             0.02347,              0.02368,              0.00399,              0.47577,              0.42920,              0.15556
             0.02654,              0.02759,              0.00839,              0.40000,              0.35313,              0.17623
             0.04518,              0.04785,              0.01314,              0.51869,              0.46556,              0.22823
             0.03286,              0.03809,              0.01687,              0.43750,              0.36967,              0.24731
             0.02512,              0.03271,              0.01222,              0.26380,              0.27515,              0.15066
             0.02065,              0.02026,              0.01173,              0.23493,              0.18004,              0.11921
             0.02253,              0.03247,              0.01218,              0.28285,              0.29039,              0.15660
             0.02447,              0.02979,              0.01125,              0.35659,              0.32190,              0.12821
             0.02198,              0.03076,              0.00787,              0.37755,              0.41311,              0.13589
             0.02372,              0.02954,              0.00851,              0.48263,              0.44161,              0.21818
             0.01425,              0.01538,              0.00621,              0.29461,              0.25301,              0.13825
