#           MSE_LOSS,        MSE_LOSS_NULL,       MSE_LOSS_INPUT,         JACCARD_LOSS,    JACCARD_LOSS_NULL,   JACCARD_LOSS_INPUT
             0.00504,              0.00828,              0.00362,              0.08755,              0.11221,              0.06452
             0.00277,              0.00509,              0.00265,              0.07363,              0.09942,              0.06648
             0.00218,              0.00429,              0.00228,              0.07012,              0.10261,              0.07250
             0.00447,              0.00829,              0.00450,              0.07403,              0.10206,              0.07100
             0.00245,              0.00402,              0.00215,              0.10088,              0.12255,              0.08783
             0.00304,              0.00509,              0.00257,              0.07637,              0.09285,              0.06481
             0.00268,              0.00582,              0.00335,              0.05792,              0.09200,              0.06647
             0.00351,              0.00834,              0.00474,              0.08439,              0.13663,              0.10582
             0.00359,              0.00676,              0.00357,              0.06470,              0.09212,              0.06598
             0.00373,              0.00799,              0.00453,              0.08935,              0.13804,              0.10556
             0.00156,              0.00409,              0.00260,              0.05579,              0.10621,              0.08207
             0.00180,              0.00388,              0.00208,              0.07077,              0.11156,              0.08355
             0.00298,              0.00641,              0.00348,              0.06583,              0.10348,              0.07341
             0.00494,              0.00793,              0.00316,              0.08808,              0.10645,              0.05491
             0.00433,              0.01104,              0.00673,              0.06620,              0.12571,              0.09828
             0.00254,              0.00493,              0.00268,              0.04696,              0.06484,              0.04484
             0.00511,              0.00862,              0.00408,              0.06539,              0.08786,              0.05332
             0.00337,              0.00671,              0.00402,              0.06932,              0.10130,              0.08289
             0.00189,              0.00457,              0.00271,              0.05352,              0.09344,              0.07076
             0.00255,              0.00522,              0.00307,              0.06706,              0.10276,              0.07310
             0.00210,              0.00445,              0.00260,              0.08608,              0.12891,              0.09338
             0.00464,              0.00779,              0.00379,              0.04324,              0.05663,              0.03538
             0.00401,              0.00923,              0.00545,              0.08233,              0.14374,              0.11027
             0.00250,              0.00425,              0.00215,              0.06472,              0.08531,              0.05341
             0.00494,              0.00879,              0.00393,              0.09357,              0.12358,              0.07352
             0.00118,              0.00198,              0.00095,              0.07126,              0.09091,              0.05469
             0.00606,              0.01031,              0.00451,              0.06605,              0.08294,              0.04941
             0.00203,              0.00383,              0.00199,              0.08675,              0.12284,              0.07948
             0.00175,              0.00428,              0.00261,              0.03987,              0.07115,              0.05139
             0.00312,              0.00565,              0.00295,              0.06870,              0.09015,              0.06022
             0.00204,              0.00348,              0.00190,              0.05734,              0.08367,              0.05405
             0.00316,              0.00637,              0.00333,              0.07420,              0.11720,              0.07857
             0.00223,              0.00644,              0.00371,              0.04592,              0.09541,              0.06847
             0.00247,              0.00515,              0.00298,              0.07486,              0.11357,              0.08637
             0.00086,              0.00281,              0.00193,              0.05530,              0.11781,              0.10469
             0.00283,              0.00541,              0.00296,              0.07648,              0.10984,              0.07842
             0.00559,              0.01225,              0.00626,              0.06642,              0.10821,              0.07413
             0.00447,              0.00961,              0.00535,              0.06116,              0.09598,              0.06974
